state,district,population
0,india,1210854977
0,india,833748852
0,india,377106125
1,jammu & kashmir,12541302
1,jammu & kashmir,9108060
1,jammu & kashmir,3433242
1,kupwara,870354
1,kupwara,765625
1,kupwara,104729
1,badgam,753745
1,badgam,655833
1,badgam,97912
1,leh(ladakh),133487
1,leh(ladakh),87816
1,leh(ladakh),45671
1,kargil,140802
1,kargil,124464
1,kargil,16338
1,punch,476835
1,punch,438205
1,punch,38630
1,rajouri,642415
1,rajouri,590101
1,rajouri,52314
1,kathua,616435
1,kathua,526722
1,kathua,89713
1,baramula,1008039
1,baramula,825539
1,baramula,182500
1,bandipore,392232
1,bandipore,326871
1,bandipore,65361
1,srinagar,1236829
1,srinagar,17313
1,srinagar,1219516
1,ganderbal,297446
1,ganderbal,250407
1,ganderbal,47039
1,pulwama,560440
1,pulwama,479978
1,pulwama,80462
1,shupiyan,266215
1,shupiyan,249855
1,shupiyan,16360
1,anantnag,1078692
1,anantnag,795805
1,anantnag,282887
1,kulgam,424483
1,kulgam,343870
1,kulgam,80613
1,doda,409936
1,doda,377247
1,doda,32689
1,ramban,283713
1,ramban,271902
1,ramban,11811
1,kishtwar,230696
1,kishtwar,215831
1,kishtwar,14865
1,udhampur,554985
1,udhampur,446777
1,udhampur,108208
1,reasi,314667
1,reasi,287671
1,reasi,26996
1,jammu,1529958
1,jammu,764945
1,jammu,765013
1,samba,318898
1,samba,265283
1,samba,53615
2,himachal pradesh,6864602
2,himachal pradesh,6176050
2,himachal pradesh,688552
2,chamba,519080
2,chamba,482972
2,chamba,36108
2,kangra,1510075
2,kangra,1423794
2,kangra,86281
2,lahul & spiti,31564
2,lahul & spiti,31564
2,lahul & spiti,0
2,kullu,437903
2,kullu,396512
2,kullu,41391
2,mandi,999777
2,mandi,937140
2,mandi,62637
2,hamirpur,454768
2,hamirpur,423338
2,hamirpur,31430
2,una,521173
2,una,476260
2,una,44913
2,bilaspur,381956
2,bilaspur,356827
2,bilaspur,25129
2,solan,580320
2,solan,478173
2,solan,102147
2,sirmaur,529855
2,sirmaur,472690
2,sirmaur,57165
2,shimla,814010
2,shimla,612659
2,shimla,201351
2,kinnaur,84121
2,kinnaur,84121
2,kinnaur,0
3,punjab,27743338
3,punjab,17344192
3,punjab,10399146
3,gurdaspur,2298323
3,gurdaspur,1639004
3,gurdaspur,659319
3,kapurthala,815168
3,kapurthala,532706
3,kapurthala,282462
3,jalandhar,2193590
3,jalandhar,1032419
3,jalandhar,1161171
3,hoshiarpur,1586625
3,hoshiarpur,1251656
3,hoshiarpur,334969
3,shahid bhagat singh nagar,612310
3,shahid bhagat singh nagar,486894
3,shahid bhagat singh nagar,125416
3,fatehgarh sahib,600163
3,fatehgarh sahib,414681
3,fatehgarh sahib,185482
3,ludhiana,3498739
3,ludhiana,1429031
3,ludhiana,2069708
3,moga,995746
3,moga,768500
3,moga,227246
3,firozpur,2029074
3,firozpur,1476518
3,firozpur,552556
3,muktsar,901896
3,muktsar,649705
3,muktsar,252191
3,faridkot,617508
3,faridkot,400457
3,faridkot,217051
3,bathinda,1388525
3,bathinda,889308
3,bathinda,499217
3,mansa,769751
3,mansa,606147
3,mansa,163604
3,patiala,1895686
3,patiala,1132406
3,patiala,763280
3,amritsar,2490656
3,amritsar,1156045
3,amritsar,1334611
3,tarn taran,1119627
3,tarn taran,977832
3,tarn taran,141795
3,rupnagar,684627
3,rupnagar,506820
3,rupnagar,177807
3,sahibzada ajit singh nagar,994628
3,sahibzada ajit singh nagar,450017
3,sahibzada ajit singh nagar,544611
3,sangrur,1655169
3,sangrur,1139204
3,sangrur,515965
3,barnala,595527
3,barnala,404842
3,barnala,190685
4,chandigarh,1055450
4,chandigarh,28991
4,chandigarh,1026459
4,chandigarh,1055450
4,chandigarh,28991
4,chandigarh,1026459
5,uttarakhand,10086292
5,uttarakhand,7036954
5,uttarakhand,3049338
5,uttarkashi,330086
5,uttarkashi,305781
5,uttarkashi,24305
5,chamoli,391605
5,chamoli,332209
5,chamoli,59396
5,rudraprayag,242285
5,rudraprayag,232360
5,rudraprayag,9925
5,tehri garhwal,618931
5,tehri garhwal,548792
5,tehri garhwal,70139
5,dehradun,1696694
5,dehradun,754753
5,dehradun,941941
5,garhwal,687271
5,garhwal,574568
5,garhwal,112703
5,pithoragarh,483439
5,pithoragarh,413834
5,pithoragarh,69605
5,bageshwar,259898
5,bageshwar,250819
5,bageshwar,9079
5,almora,622506
5,almora,560192
5,almora,62314
5,champawat,259648
5,champawat,221305
5,champawat,38343
5,nainital,954605
5,nainital,582871
5,nainital,371734
5,udham singh nagar,1648902
5,udham singh nagar,1062142
5,udham singh nagar,586760
5,hardwar,1890422
5,hardwar,1197328
5,hardwar,693094
6,haryana,25351462
6,haryana,16509359
6,haryana,8842103
6,panchkula,561293
6,panchkula,248063
6,panchkula,313230
6,ambala,1128350
6,ambala,627576
6,ambala,500774
6,yamunanagar,1214205
6,yamunanagar,741376
6,yamunanagar,472829
6,kurukshetra,964655
6,kurukshetra,685430
6,kurukshetra,279225
6,kaithal,1074304
6,kaithal,838293
6,kaithal,236011
6,karnal,1505324
6,karnal,1050514
6,karnal,454810
6,panipat,1205437
6,panipat,650352
6,panipat,555085
6,sonipat,1450001
6,sonipat,996637
6,sonipat,453364
6,jind,1334152
6,jind,1028569
6,jind,305583
6,fatehabad,942011
6,fatehabad,762423
6,fatehabad,179588
6,sirsa,1295189
6,sirsa,975941
6,sirsa,319248
6,hisar,1743931
6,hisar,1190443
