state,district,population
1,jammu & kashmir,12541302
1,kupwara,870354
1,badgam,753745
1,leh(ladakh),133487
1,kargil,140802
1,punch,476835
1,rajouri,642415
1,kathua,616435
1,baramula,1008039
1,bandipore,392232
1,srinagar,1236829
1,ganderbal,297446
1,pulwama,560440
1,shupiyan,266215
1,anantnag,1078692
1,kulgam,424483
1,doda,409936
1,ramban,283713
1,kishtwar,230696
1,udhampur,554985
1,reasi,314667
1,jammu,1529958
1,samba,318898
2,himachal pradesh,6864602
2,chamba,519080
2,kangra,1510075
2,lahul & spiti,31564
2,kullu,437903
2,mandi,999777
2,hamirpur,454768
2,una,521173
2,bilaspur,381956
2,solan,580320
2,sirmaur,529855
2,shimla,814010
2,kinnaur,84121
3,punjab,27743338
3,gurdaspur,2298323
3,kapurthala,815168
3,jalandhar,2193590
3,hoshiarpur,1586625
3,shahid bhagat singh nagar,612310
3,fatehgarh sahib,600163
3,ludhiana,3498739
3,moga,995746
3,firozpur,2029074
3,muktsar,901896
3,faridkot,617508
3,bathinda,1388525
3,mansa,769751
3,patiala,1895686
3,amritsar,2490656
3,tarn taran,1119627
3,rupnagar,684627
3,sahibzada ajit singh nagar,994628
3,sangrur,1655169
3,barnala,595527
4,chandigarh,1055450
5,uttarakhand,10086292
5,uttarkashi,330086
5,chamoli,391605
5,rudraprayag,242285
5,tehri garhwal,618931
5,dehradun,1696694
5,garhwal,687271
5,pithoragarh,483439
5,bageshwar,259898
5,almora,622506
5,champawat,259648
5,nainital,954605
5,udham singh nagar,1648902
5,hardwar,1890422
6,haryana,25351462
6,panchkula,561293
6,ambala,1128350
6,yamunanagar,1214205
6,kurukshetra,964655
6,kaithal,1074304
6,karnal,1505324
6,panipat,1205437
6,sonipat,1450001
6,jind,1334152
6,fatehabad,942011
6,sirsa,1295189
6,hisar,1743931
6,bhiwani,1634445
6,rohtak,1061204
6,jhajjar,958405
6,mahendragarh,922088
6,rewari,900332
6,gurgaon,1514432
6,mewat,1089263
6,faridabad,1809733
6,palwal,1042708
7,nct of delhi,16787941
7,north west,3656539
7,north,887978
7,north east,2241624
7,east,1709346
7,new delhi,142004
7,central,582320
7,west,2543243
7,south west,2292958
7,south,2731929
8,rajasthan,68548437
8,ganganagar,1969168
8,hanumangarh,1774692
8,bikaner,2363937
8,churu,2039547
8,jhunjhunun,2137045
8,alwar,3674179
8,bharatpur,2548462
8,dhaulpur,1206516
8,karauli,1458248
8,sawai madhopur,1335551
8,dausa,1634409
8,jaipur,6626178
8,sikar,2677333
8,nagaur,3307743
8,jodhpur,3687165
8,jaisalmer,669919
8,barmer,2603751
8,jalor,1828730
8,sirohi,1036346
8,pali,2037573
8,ajmer,2583052
8,tonk,1421326
8,bundi,1110906
8,bhilwara,2408523
8,rajsamand,1156597
8,dungarpur,1388552
8,banswara,1797485
8,chittaurgarh,1544338
8,kota,1951014
8,baran,1222755
8,jhalawar,1411129
8,udaipur,3068420
8,pratapgarh,867848
9,uttar pradesh,199812341
