state,msme
andaman and nicobar islands,6429
andhra pradesh,379884
arunachal pradesh,1982
assam,27497
bihar,938448
chandigarh,13052
chhattisgarh,78078
dadar and nagar haveli,5211
daman and diu,3134
delhi,208671
goa,10275
gujarat,866053
haryana,216103
himachal pradesh,16955
jammu and kashmir,11259
jharkhand,169579
karnataka,411183
kerala,142812
ladakh,138
lakshadweep,112
madhya pradesh,966463
maharashtra,1978477
manipur,37200
meghalaya,2415
mizoram,3546
nagaland,2019
odisha,137934
puducherry,11604
punjab,233268
rajasthan,623437
sikkim,1081
tamil nadu,1106129
telangana,323165
tripura,6651
uttar pradesh,970207
uttarakhand,47860
west bengal,269647
