state,district,nightlight
haryana,karnal,2.730598028104813
haryana,kurukshetra,2.345184463210946
haryana,mahendragarh,1.5875337862729888
haryana,sonepat,3.2364974226764724
haryana,kaithal,1.590814284716007
haryana,panipat,5.5328069299476
haryana,rewari,3.375294675675819
haryana,yamuna nagar,2.577122203451788
rajasthan,bharatpur,1.2921598196517257
rajasthan,dhaulpur,0.8663140393560549
jharkhand,purba singhbhum,2.2109602027872794
uttar pradesh,gorakhpur,3.597722812867984
uttar pradesh,maharajganj,1.1821067506975491
rajasthan,kota,1.9850436393121695
rajasthan,baran,1.0349756876396976
meghalaya,east khasi hills,0.6783785123892463
meghalaya,west garo hills,0.5827703650567116
meghalaya,ri-bhoi,0.6140719265327338
meghalaya,south garo hills,0.435212079259958
punjab,patiala,3.2931754515581093
punjab,rupnagar,4.1591940734284725
punjab,fatehgarh sahib,2.441981841930625
west bengal,dakshin dinajpur,1.085722086295388
west bengal,uttar dinajpur,1.3628738105360771
haryana,ambala,3.485968837969332
haryana,panchkula,4.767460548710918
uttar pradesh,deoria,2.081542238394802
uttar pradesh,kushinagar,1.7097582923043049
punjab,bathinda,2.999644267942907
punjab,hoshiarpur,1.2818051072518644
punjab,mansa,1.2370929828994932
punjab,muktsar,1.4960362926083022
punjab,nawan shehar,2.020919909555059
tripura,north tripura,0.7189138816068129
tripura,south tripura,0.7911625926754622
tripura,dhalai,0.509365207750798
uttar pradesh,hamirpur,0.8098585185175083
uttar pradesh,mahoba,0.9591004093941696
punjab,faridkot,1.82408349676624
punjab,moga,1.8704995860319624
rajasthan,jaipur,3.01993322672849
rajasthan,udaipur,1.0099741911269944
rajasthan,dausa,1.6949052964524962
rajasthan,rajsamand,1.3935343407684635
uttar pradesh,bahraich,0.7698647592160348
uttar pradesh,faizabad,2.068547513597224
uttar pradesh,ambedkar nagar,1.6099706506804707
uttar pradesh,sant ravi das nagar,3.48346037644566
uttar pradesh,shravasti,1.1733561902975351
uttarakhand,naini tal,1.02489049846257
uttarakhand,udham singh nagar,3.024143669281965
manipur,east imphal,1.717842493326525
manipur,west imphal,2.8805596960104114
rajasthan,sawai madhopur,0.8634756581930826
rajasthan,karauli,0.958794636028515
uttar pradesh,aligarh,2.0757847409663825
uttar pradesh,allahabad,2.550033930647068
